date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:33:27	12053/12053	---M-Z	200	added ('OK')	text/html	etag:W/%222f15-JL9tr4Fzc7EPdzJb7A6XaEu9+H0%22	https://possessivos.cc/	C:/Meus%20Sites/scc/possessivos.cc/index.html	(from )
22:33:27	98/98	---M-Z	302	error ('Found')	text/html	date:Fri,%2005%20Apr%202024%2001:33:31%20GMT	https://possessivos.cc/robots.txt		(from )
22:33:27	68028/68028	---MCZ	200	added ('OK')	text/css	etag:%22109bc-IH/O3L/2oFuyFxGxc9h5/AQWzS0%22	https://unpkg.com/boxicons@2.1.4/css/boxicons.min.css	C:/Meus%20Sites/scc/unpkg.com/boxicons@2.1.4/css/boxicons.min.css	(from https://possessivos.cc/)
22:33:28	100/100	---M-Z	302	error ('Found')	text/html	date:Fri,%2005%20Apr%202024%2001:33:32%20GMT	https://possessivos.cc/assets/style.css	C:/Meus%20Sites/scc/possessivos.cc/assets/style.css	(from https://possessivos.cc/)
22:33:28	36/36	---M--	404	error ('Not%20Found')	text/plain	date:Fri,%2005%20Apr%202024%2001:33:32%20GMT	https://media.discordapp.net/attachments/1208146511578271825/1213266265322557450/6677631.png?ex=65fe13c3&is=65eb9ec3&hm=09fa4968287247d0b2f3a9e207400db489117e7713eb6eae7ba7fdab371e5559&	C:/Meus%20Sites/scc/media.discordapp.net/attachments/1208146511578271825/1213266265322557450/6677631.24fae.delayed	(from https://possessivos.cc/)
22:33:28	7013/7013	---M-Z	200	added ('OK')	text/css	etag:W/%221b65-18e77aec048%22	https://possessivos.cc/main.css	C:/Meus%20Sites/scc/possessivos.cc/main.css	(from https://possessivos.cc/)
22:33:29	101784/101784	---M-Z	200	added ('OK')	text/css	etag:%22630e6e62-543a%22	https://cdnjs.cloudflare.com/ajax/libs/font-awesome/6.2.0/css/all.min.css	C:/Meus%20Sites/scc/cdnjs.cloudflare.com/ajax/libs/font-awesome/6.2.0/css/all.min.css	(from https://possessivos.cc/)
22:33:29	8255/8255	---M-Z	200	added ('OK')	application/javascript	etag:W/%22203f-18e77aec048%22	https://possessivos.cc/cursor.js	C:/Meus%20Sites/scc/possessivos.cc/cursor.js	(from https://possessivos.cc/)
22:33:29	100/100	---M-Z	302	error ('Found')	text/html	date:Fri,%2005%20Apr%202024%2001:33:33%20GMT	https://possessivos.cc/cdn.jsdelivr.net/npm/disable-devtool	C:/Meus%20Sites/scc/possessivos.cc/cdn.jsdelivr.net/npm/disable-devtool	(from https://possessivos.cc/)
22:33:30	5274274/5274274	---M--	200	added ('OK')	audio/mpeg	etag:W/%22507aa2-18e77aec048%22	https://possessivos.cc/sexo.mp3	C:/Meus%20Sites/scc/possessivos.cc/sexo.mp3	(from https://possessivos.cc/)
